105.6,262.23,66.05,58.06
87.0,259.56,68.60,58.93
108.0,262.23,64.55,58.94
106.3,259.56,65.51,57.72
101.4,262.23,68.80,58.79
105.7,259.56,65.80,58.84
105.1,262.23,66.31,59.61
90.3,259.56,66.15,58.96
105.6,262.25,66.05,58.87
90.0,259.58,66.32,58.72
119.7,262.25,66.57,58.24
88.7,259.58,67.32,59.73
105.5,262.25,66.08,58.69
104.5,259.58,66.67,59.21
106.0,262.25,65.75,58.54
97.9,259.58,71.09,60.51
97.3,262.25,71.39,64.19
117.2,259.58,68.01,63.40
103.4,262.25,67.31,61.13
102.0,259.58,68.20,61.81
123.4,262.25,64.42,58.67
92.4,259.58,64.59,58.16
108.5,262.25,64.22,58.76
108.9,259.58,63.86,57.70
109.7,262.25,63.43,57.79
91.2,259.58,65.44,58.53
103.1,262.25,67.63,58.37
106.2,259.58,65.55,58.63
108.2,262.25,64.31,57.23
88.9,259.58,67.13,59.17
104.7,262.25,66.61,58.51
101.9,259.58,78.27,64.94
56.1,262.25,142.30,136.41
106.7,259.58,65.35,60.08
121.5,262.25,65.58,60.29
106.4,259.58,65.55,60.04
102.5,262.25,68.08,62.04
105.9,259.58,65.86,59.49
108.8,262.25,73.24,66.93
96.2,259.58,72.40,65.60
106.0,262.25,65.82,59.92
108.9,259.58,63.92,57.75
106.6,262.25,65.43,59.79
108.3,259.58,64.25,57.14
94.6,262.25,63.12,57.41
108.1,259.58,64.45,58.82
108.1,262.25,64.36,58.61
106.9,259.58,65.12,59.07
106.9,262.25,65.24,59.99
108.6,259.58,64.11,58.19
107.4,262.25,64.84,58.81
107.3,259.58,64.96,59.56
107.2,262.25,64.93,57.26
110.0,259.59,63.32,57.47
109.2,262.27,63.69,57.23
105.9,259.59,65.73,57.82
91.0,262.27,65.58,58.17
104.7,259.59,66.60,58.92
106.1,262.27,65.55,57.84
91.6,259.59,65.13,57.12
99.2,262.27,70.34,59.03
108.2,259.59,64.42,58.13
105.3,262.27,66.10,58.15
104.1,259.59,66.91,57.07
91.2,262.27,65.47,57.62
104.9,259.59,66.47,57.90
104.2,262.27,66.80,58.31
90.0,259.59,66.35,57.52
105.9,262.27,65.74,57.71
103.4,259.59,67.41,56.91
104.5,262.27,66.68,58.67
106.5,259.59,65.44,57.65
105.5,262.27,65.99,57.68
90.2,259.59,66.18,56.45
104.3,262.27,66.75,58.27
19.4,246.59,664.01,28.50
103.7,257.05,86.32,72.65
102.3,256.84,77.84,66.50
114.3,260.94,78.54,70.06
101.1,258.28,69.00,63.81
99.9,260.97,69.84,63.02
104.1,258.28,67.00,59.71
104.8,261.23,66.38,59.96
119.0,258.55,66.97,59.21
103.5,261.48,67.22,60.40
119.1,259.05,66.80,58.96
104.9,263.09,66.37,59.71
90.9,260.41,65.63,58.66
104.6,263.09,66.59,59.65
114.5,260.41,78.19,71.01
103.6,263.09,67.19,60.66
101.9,260.41,68.47,62.20
107.1,263.09,64.97,58.27
113.5,260.42,70.14,62.04
92.2,263.11,64.69,57.38
120.0,260.42,66.27,59.66
92.8,263.11,64.26,57.55
104.6,260.42,66.56,59.71
121.9,263.11,65.26,58.54
103.9,260.44,66.98,61.08
93.9,263.12,63.55,56.74
106.5,260.44,65.36,59.29
94.7,263.12,63.01,57.27
104.2,260.44,66.94,59.36
106.9,263.12,65.18,57.94
108.0,260.44,64.44,58.48
110.5,263.12,62.97,57.10
107.6,260.44,64.68,57.60
119.5,263.12,66.65,60.41
105.0,260.44,66.33,59.51
108.1,263.16,64.35,57.62
105.5,260.48,65.97,59.19
107.8,263.17,64.55,56.92
105.8,260.48,65.79,59.38
104.3,263.17,66.73,60.11
107.8,260.48,64.57,58.20
108.9,263.17,63.92,57.68
88.4,260.48,67.59,62.06
124.7,263.17,63.78,57.04
91.7,260.48,65.06,58.44
106.0,263.17,65.64,57.44
123.4,260.48,64.45,57.84
94.0,263.17,63.41,56.93
108.9,260.48,63.95,57.95
104.7,263.17,66.56,59.26
101.4,260.48,68.61,61.84
106.7,263.17,65.21,58.40
106.5,260.48,65.40,58.96
106.0,263.17,65.76,59.25
104.4,260.48,66.69,60.72
122.5,263.17,65.04,58.64
104.8,260.48,66.40,60.54
91.1,263.17,65.49,57.99
106.0,260.48,65.71,58.77
119.4,263.17,66.74,59.15
89.3,260.48,66.91,60.65
104.2,263.17,66.94,60.89
107.6,260.48,64.74,58.91
105.2,263.17,66.30,60.06
103.9,260.48,66.98,59.37
106.4,263.17,65.41,58.79
119.1,260.48,66.80,61.06
106.3,263.17,65.46,57.69
103.4,260.48,67.37,60.13
102.3,263.17,68.19,61.57
101.6,260.48,68.62,62.31
107.0,263.17,65.04,57.36
103.5,260.48,67.27,59.65
107.0,263.17,64.99,57.64
103.7,260.48,67.17,60.08
104.5,263.17,66.68,59.55
103.7,260.48,67.11,59.18
108.9,263.17,63.88,57.41
107.3,260.48,64.89,58.22
104.3,263.17,66.83,60.35
115.4,260.48,68.93,60.82
90.5,263.17,65.86,58.15
118.5,260.48,67.17,60.48
90.3,263.17,66.15,58.96
117.2,260.48,67.88,60.52
105.6,263.17,65.90,57.86
104.5,260.48,66.54,58.93
93.2,263.17,63.99,57.35
119.3,260.48,66.70,59.41
90.3,263.17,66.18,59.84
101.5,260.48,68.61,61.22
104.4,263.17,76.36,69.52
118.3,260.48,67.37,61.17
106.2,263.17,65.58,58.69
104.1,260.48,66.98,59.91
102.9,263.17,67.68,60.52
106.0,260.48,65.65,58.99
100.1,263.17,69.67,62.94
106.5,260.48,65.33,57.45
102.8,263.17,67.74,61.15
106.1,260.48,65.62,58.61
103.7,263.17,67.11,59.43
