CPU_Percent,RAM_MB,Total_Latency_ms,Inference_Latency_ms
338.9,831.98,70.55,49.37
357.2,831.98,61.25,42.80
355.7,831.98,69.99,48.03
331.6,831.98,65.96,47.18
322.9,831.98,64.70,43.13
345.9,831.98,69.12,48.44
356.3,831.98,67.04,50.20
341.0,831.98,67.23,47.73
333.3,831.98,65.79,47.84
354.2,831.98,61.90,41.75
348.3,832.00,71.57,49.45
353.0,832.00,62.04,44.24
335.8,832.00,71.09,49.33
348.7,832.00,62.77,41.27
332.1,832.00,68.87,46.51
352.7,832.00,56.34,40.01
321.1,832.00,71.23,41.87
326.6,832.00,63.93,42.94
330.5,832.00,66.25,43.17
327.2,832.00,66.92,42.28
315.0,832.00,66.28,43.21
337.3,832.00,64.85,40.57
318.4,832.00,68.69,43.58
334.7,832.00,62.36,40.14
291.6,832.00,85.34,59.21
360.5,832.00,52.35,44.39
338.1,832.00,73.56,47.63
337.6,832.00,58.87,42.46
341.1,832.00,61.20,38.97
304.2,832.00,72.02,46.02
319.5,832.00,68.59,41.98
359.4,832.00,58.13,38.82
312.6,832.00,70.02,43.25
354.2,832.00,64.69,40.42
316.5,832.00,71.91,47.24
341.2,832.00,64.15,41.13
326.0,832.00,73.40,43.82
339.6,832.00,64.55,47.32
362.3,832.00,68.79,48.20
351.6,832.00,59.45,41.47
330.2,832.00,72.35,48.57
337.3,832.00,62.00,42.00
345.6,832.00,69.08,47.01
334.8,832.00,68.36,48.80
344.6,832.00,63.58,47.29
365.4,832.00,62.56,41.63
320.7,832.00,71.40,49.16
350.6,832.00,59.64,41.15
326.0,832.00,73.31,46.94
363.5,832.00,60.30,41.05
339.1,832.00,70.56,47.66
329.7,832.00,66.44,42.81
339.3,832.00,67.47,47.28
347.5,832.00,63.04,41.73
325.6,832.00,70.31,46.75
367.1,832.00,65.11,47.24
344.1,832.00,69.35,49.26
331.1,832.00,63.06,45.21
341.6,832.00,67.01,47.16
344.0,832.00,63.69,41.41
346.2,832.00,69.02,46.50
343.7,832.00,66.66,45.64
324.5,832.00,64.39,45.74
338.7,832.00,67.64,45.60
346.3,832.00,66.07,46.81
344.4,832.00,66.51,46.34
341.6,832.00,66.98,47.22
333.4,832.00,68.69,48.12
338.9,832.00,67.60,48.49
338.6,832.00,61.64,45.06
356.2,832.00,67.04,45.92
318.1,832.00,68.89,47.88
356.5,832.00,67.00,49.87
355.2,832.00,67.32,47.93
362.4,832.00,66.00,48.77
353.0,832.00,64.92,46.72
355.2,832.00,67.36,46.58
345.1,832.00,69.28,50.57
366.8,832.00,65.09,50.45
343.4,832.00,60.88,43.92
335.5,832.00,68.23,46.88
344.7,832.00,66.48,44.41
319.5,832.00,68.64,49.14
359.1,832.00,63.79,44.98
356.0,832.00,69.72,47.96
342.0,832.06,66.98,47.72
342.0,832.08,75.71,53.37
357.4,832.08,55.74,45.55
367.1,832.09,65.17,43.33
339.8,832.11,64.53,45.16
345.9,832.11,72.06,50.39
342.4,832.11,61.06,44.04
361.2,832.11,71.65,49.73
365.6,832.11,62.64,45.34
340.7,832.11,67.19,44.08
330.8,832.11,66.25,45.66
329.9,832.11,69.41,49.13
356.4,832.11,67.13,46.59
332.9,832.11,65.87,48.62
356.0,832.11,64.34,46.72
354.8,832.11,64.48,44.34
332.2,832.11,68.96,47.98
358.4,832.11,63.83,45.41
335.1,832.11,65.43,42.98
254.1,832.11,145.39,119.71
197.3,831.12,121.33,112.94
228.8,832.06,161.25,144.08
268.4,832.06,104.08,96.41
362.6,832.06,54.89,48.57
343.6,832.06,54.94,44.41
238.3,831.12,142.43,136.35
229.3,832.06,134.94,127.47
312.7,832.06,79.68,40.74
322.5,832.06,64.82,55.80
354.7,832.06,53.29,46.00
360.0,832.06,55.21,42.46
374.0,832.06,55.88,47.23
348.4,832.11,59.95,48.44
370.3,832.20,56.46,48.72
355.3,832.20,55.92,45.30
330.2,832.22,72.31,53.55
358.9,832.25,63.87,48.18
309.1,832.25,64.49,42.66
338.7,832.25,67.69,45.61
358.2,832.25,63.98,47.70
318.8,832.25,68.78,49.81
369.3,832.27,62.01,45.29
329.7,832.27,63.31,43.53
309.1,832.27,70.83,47.26
332.6,832.27,62.86,44.52
339.9,832.27,64.35,41.79
314.3,832.27,69.68,45.80
324.4,832.27,64.36,41.12
321.1,832.27,68.18,45.61
