CPU_Percent,RAM_MB,Total_Latency_ms,Inference_Latency_ms
265.4,274.08,55.99,48.44
270.3,273.14,62.42,54.82
276.2,274.08,57.58,50.82
246.9,273.14,60.11,50.12
283.3,274.08,55.97,48.76
263.5,273.14,60.17,52.14
299.3,274.08,56.30,49.19
225.6,273.14,61.48,52.56
277.1,274.08,57.21,49.65
252.2,273.14,58.79,51.24
300.2,274.08,55.98,48.76
249.5,273.14,59.40,51.58
254.8,274.08,58.19,49.58
260.6,273.14,60.73,53.37
273.7,274.08,57.75,49.05
274.3,273.14,61.39,52.91
271.1,274.08,58.47,51.36
261.6,273.14,60.56,53.32
250.0,274.08,59.53,52.78
277.3,273.14,60.54,51.59
262.4,274.08,56.69,48.79
263.9,273.14,60.08,52.72
241.0,274.08,57.55,49.58
250.9,273.14,59.23,50.82
272.0,274.08,58.41,48.98
202.7,273.14,63.32,54.94
278.8,274.08,56.84,49.74
278.6,273.14,60.53,51.91
256.7,274.08,57.94,50.82
261.9,273.14,60.60,52.78
294.5,274.08,57.20,49.71
247.9,273.14,59.81,52.19
276.2,274.08,57.38,49.96
243.1,273.14,60.97,52.49
275.8,274.08,61.18,54.12
276.8,273.14,61.06,53.44
271.7,274.08,58.32,51.00
270.3,273.14,58.66,50.97
269.9,274.08,58.77,51.35
257.1,273.14,61.71,54.14
267.9,274.08,59.21,50.10
264.5,273.14,56.30,49.06
285.9,274.08,58.96,51.14
263.8,273.14,59.98,52.16
292.7,274.08,57.59,48.96
251.5,273.14,59.27,51.33
288.7,274.08,54.96,48.02
262.9,273.14,60.30,52.49
284.8,274.08,59.18,51.52
249.0,273.14,59.75,52.54
291.4,274.08,57.68,49.97
245.3,273.14,64.73,56.43
256.6,274.08,57.97,50.67
284.6,273.14,59.25,51.12
299.3,274.08,56.31,48.78
232.9,273.14,59.60,51.78
293.1,274.08,57.50,50.10
263.5,273.14,60.20,51.81
275.6,274.08,57.51,48.84
278.8,273.14,60.33,53.52
277.0,274.08,57.23,48.64
257.7,273.14,61.44,53.86
296.2,274.08,56.70,48.75
244.7,273.14,60.85,53.50
285.6,274.08,55.65,48.63
259.8,273.14,61.02,53.35
273.1,274.08,54.39,47.88
244.5,273.14,60.82,52.73
268.4,274.08,59.08,51.66
265.1,273.14,63.54,55.85
281.6,274.08,59.91,50.94
268.8,273.14,58.82,50.81
279.7,274.08,56.50,48.39
271.6,273.14,58.37,50.38
285.7,274.08,55.49,48.49
196.4,273.14,65.50,56.32
112.7,274.08,88.19,72.56
125.3,273.14,94.66,88.26
234.8,274.08,59.14,53.32
316.4,273.14,53.21,46.82
268.6,274.08,59.05,50.98
281.4,273.14,56.37,48.78
258.2,274.08,61.46,54.80
290.5,273.14,57.80,49.69
260.1,274.08,61.00,53.87
285.7,273.14,55.52,48.05
258.1,274.08,61.62,52.72
279.2,273.14,56.79,49.21
267.8,274.08,59.25,52.19
269.5,273.14,58.83,49.88
253.5,274.08,58.67,51.71
294.3,273.14,57.26,48.91
260.5,274.08,60.83,52.58
283.9,273.14,59.23,51.29
227.0,274.08,61.01,52.74
286.0,273.14,55.53,48.60
263.7,274.08,60.18,52.48
301.3,273.14,55.84,48.43
252.1,274.08,58.91,51.37
279.8,273.14,56.57,49.30
229.9,274.08,64.75,56.49
225.6,273.14,61.47,52.58
257.4,274.08,57.49,48.93
260.8,273.14,56.85,49.18
237.9,274.08,66.65,58.03
223.3,273.14,66.78,55.80
279.4,274.08,64.12,56.02
244.7,273.14,60.98,53.41
237.7,274.08,66.98,54.09
252.1,273.14,63.15,53.75
178.7,274.08,77.54,67.40
165.9,273.14,89.20,75.32
204.5,274.08,82.01,70.86
209.7,273.14,73.20,65.03
187.6,274.08,78.93,67.34
220.3,273.14,71.27,62.50
232.9,274.08,72.28,63.47
261.2,273.14,68.38,60.44
231.8,274.08,68.11,60.06
207.6,273.14,71.81,63.56
214.1,274.08,74.20,63.68
233.9,273.14,72.15,61.44
226.5,274.08,79.12,72.04
213.7,273.14,78.88,64.86
188.2,274.08,73.20,66.14
205.9,273.14,82.08,71.97
251.8,274.08,63.14,54.29
255.4,273.14,58.38,52.76
287.3,274.08,58.65,49.56
254.4,273.14,58.49,50.65
279.8,274.08,60.10,53.03
269.2,273.14,58.79,50.99
266.4,274.08,59.30,51.94
284.3,273.14,55.63,48.35
265.7,274.08,59.34,51.96
276.9,273.14,57.14,48.58
271.6,274.08,58.25,51.34
281.6,273.14,56.22,48.64
268.3,274.08,58.95,51.57
265.2,273.14,59.68,50.69
264.4,274.08,59.87,52.61
272.1,273.14,58.13,50.12
283.9,274.08,58.96,51.61
270.9,273.14,58.42,50.58
258.3,274.08,61.30,51.57
253.6,273.14,58.52,50.15
280.1,274.08,56.51,50.29
265.1,273.14,55.92,46.89
263.2,274.08,60.13,52.70
273.9,273.14,57.78,50.31
264.2,274.08,59.94,51.44
259.6,273.14,57.31,48.93
260.9,274.08,60.83,52.17
259.6,273.14,57.26,49.03
264.1,274.08,59.86,52.72
251.5,273.14,59.16,51.42
250.6,274.08,59.14,52.00
281.7,273.14,56.15,48.36
252.7,274.08,62.69,53.69
281.8,273.14,56.22,48.64
264.0,274.08,60.08,51.79
256.8,273.14,57.84,50.33
260.2,274.08,61.04,53.50
261.7,273.14,60.69,53.24
242.4,274.08,61.24,53.51
276.2,273.14,57.28,49.92
245.4,274.08,60.45,53.26
288.8,273.14,58.19,50.48
285.3,274.08,58.93,51.03
262.4,273.14,56.64,48.39
268.6,274.08,58.92,50.94
279.4,273.14,56.61,48.62
250.0,274.08,59.51,52.20
281.6,273.14,56.26,48.32
