CPU_Percent,RAM_MB,Total_Latency_ms,Inference_Latency_ms
53.4,203.98,36.76,13.34
52.3,206.66,37.74,13.41
51.2,203.98,38.50,13.98
51.5,206.66,38.26,13.20
78.4,204.00,37.77,13.46
50.0,206.67,39.45,14.92
71.7,204.00,41.19,16.94
78.7,206.67,37.61,17.92
79.3,204.00,37.45,16.34
77.1,206.67,38.37,15.92
52.2,204.00,37.71,16.00
50.8,206.67,38.82,16.96
104.1,204.02,37.83,16.88
79.8,206.69,36.81,15.94
52.2,204.02,37.70,16.23
78.5,206.69,37.58,16.20
53.6,204.02,36.71,16.11
82.7,206.69,35.70,15.80
79.8,204.03,37.00,16.35
80.5,206.70,36.66,17.36
82.6,204.03,35.73,17.15
83.3,206.70,35.42,16.56
54.7,204.03,36.00,16.62
80.5,206.70,36.68,17.03
88.8,204.03,33.17,14.38
27.9,206.70,35.21,13.53
81.7,204.03,36.15,13.45
55.2,206.70,35.73,13.32
81.0,204.03,36.50,13.66
54.4,206.70,36.25,13.91
54.4,204.03,36.23,13.35
82.3,206.70,35.88,13.29
54.8,204.03,35.98,13.34
53.6,206.70,36.77,13.66
50.8,204.03,38.81,13.67
84.0,206.70,35.14,13.19
53.8,204.03,36.45,13.51
53.1,206.72,37.15,13.74
79.6,204.05,37.17,13.92
53.2,206.72,36.97,13.32
78.9,204.05,37.44,13.49
26.9,206.72,36.71,13.58
79.2,204.05,37.35,13.91
53.7,206.72,36.68,13.26
56.2,204.05,35.09,13.41
81.8,206.72,36.12,13.24
53.5,204.05,36.86,13.90
81.7,206.72,36.20,14.40
55.6,204.05,35.41,13.33
57.4,206.72,34.28,13.38
56.0,204.05,35.16,13.46
55.4,206.72,35.55,13.49
110.7,204.05,35.54,13.67
55.1,206.72,35.72,14.27
55.9,204.05,35.17,13.69
56.0,206.72,35.11,13.17
84.4,204.17,34.97,13.40
27.4,206.84,36.02,13.32
82.7,204.17,35.77,13.66
82.4,206.84,35.89,14.02
56.1,204.17,34.92,13.73
56.4,206.84,34.94,13.72
54.9,204.17,36.03,13.40
55.8,206.84,35.33,13.24
80.0,204.17,36.97,13.68
80.9,206.84,36.54,13.74
53.3,204.17,37.00,13.33
53.0,206.84,37.19,13.29
76.2,204.17,38.85,14.32
51.9,206.84,37.85,13.68
51.9,204.17,37.96,13.30
50.2,206.84,39.33,13.80
51.0,204.17,38.67,13.26
77.7,206.84,38.06,13.38
49.1,204.17,40.24,13.88
77.2,206.84,38.32,13.24
52.6,204.17,37.52,13.48
51.4,206.84,38.38,13.99
78.7,204.17,37.54,13.52
53.6,206.84,36.75,13.30
52.0,204.17,37.94,13.76
52.4,206.84,37.66,13.66
79.5,204.17,36.96,13.28
55.6,206.84,35.49,13.12
51.0,204.17,38.66,13.72
53.3,206.84,36.98,13.64
79.4,204.17,37.20,13.39
53.1,206.84,37.11,13.42
78.2,204.17,37.82,14.32
54.3,206.84,36.09,13.22
54.3,204.17,36.31,13.33
53.0,206.84,37.17,13.54
78.8,204.17,37.57,13.98
53.4,206.84,36.65,13.34
80.2,204.17,36.86,13.51
52.7,206.84,37.40,13.67
52.8,204.17,37.30,13.87
53.4,206.84,36.84,13.24
53.5,204.17,36.76,13.39
78.7,206.84,37.60,13.68
52.8,204.17,37.32,13.81
80.7,206.84,36.63,13.18
52.6,204.17,37.30,13.78
79.8,206.84,37.03,13.66
53.3,204.17,37.01,13.74
54.3,206.84,36.26,13.22
53.7,204.19,36.50,13.40
52.9,206.86,37.23,13.68
80.0,204.19,36.96,13.98
53.9,206.86,36.56,13.22
80.8,204.19,36.50,13.50
53.2,206.86,37.02,13.62
79.8,204.19,37.04,13.90
54.0,206.86,36.46,13.28
53.6,204.19,36.75,13.76
53.5,206.86,36.77,13.59
52.7,204.19,37.40,14.22
54.4,206.86,36.18,13.23
80.5,204.19,36.55,13.40
53.8,206.86,36.63,13.38
78.9,204.19,37.49,14.19
81.6,206.86,36.21,13.34
26.8,204.19,36.76,13.30
80.7,206.86,36.63,13.31
51.7,204.19,38.08,14.63
54.7,206.86,36.06,13.86
54.3,204.19,36.27,13.29
80.7,206.86,36.55,13.31
79.2,204.19,37.36,13.87
54.1,206.86,36.43,13.52
51.1,204.19,38.49,13.48
54.3,206.86,36.26,13.59
81.3,204.19,36.37,13.72
53.0,206.86,37.19,13.97
53.2,204.19,37.03,13.28
54.5,206.86,36.17,13.32
79.5,204.19,37.19,14.00
53.5,206.86,36.86,13.84
53.3,204.19,36.75,13.32
84.0,206.86,35.12,13.32
51.9,204.19,38.04,13.69
78.2,206.86,37.85,14.49
56.1,204.19,35.03,13.24
81.0,206.86,36.47,13.28
52.4,204.19,37.67,13.61
53.3,206.86,37.03,14.04
53.2,204.19,37.08,13.51
80.8,206.86,36.57,13.26
53.6,204.19,36.75,13.75
53.9,206.86,36.57,13.70
80.0,204.19,36.96,13.73
54.1,206.86,36.43,13.21
53.5,204.19,36.90,13.41
80.2,206.86,36.87,13.67
53.2,204.19,37.09,13.65
53.5,206.86,36.84,13.17
53.8,204.19,36.59,13.45
55.0,206.86,35.84,13.63
93.2,204.19,42.38,17.66
81.5,206.86,36.25,17.55
54.1,204.19,36.37,17.50
82.4,206.86,35.82,16.25
81.6,204.19,36.18,16.19
78.2,206.86,37.73,15.87
54.5,204.20,36.16,15.86
79.5,206.88,37.21,16.13
79.7,204.20,37.07,17.10
53.9,206.88,36.51,16.57
79.0,204.20,37.37,16.63
84.8,206.88,34.77,16.03
79.7,204.20,37.07,16.21
53.4,206.88,36.89,15.91
80.1,204.20,36.91,16.11
54.6,206.88,36.08,15.84
77.2,204.20,38.24,17.25
80.7,206.88,36.55,16.73
